ticker,company name,short name,industry,exchange,market cap,sector
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc.,Western Asset Global Corporate Defined Opportunity Fund,Asset Management,New York Stock Exchange,242036748,Financial Services
GDOT,Green Dot Corporation Class A $0.001 par value,Green Dot $0.001 par value,Credit Services,New York Stock Exchange,3953671856,Financial Services
GDV,Gabelli Dividend & Income Trust of Beneficial Interest,Gabelli Dividend & Income Trust of Beneficial Interest,Asset Management,New York Stock Exchange,1690689057,Financial Services
GE,General Electric Company,General Electric Company,Industrial Products,New York Stock Exchange,88807754150,Industrials
GEF,Greif Inc. Class A,Greif,Packaging & Containers,New York Stock Exchange,2264379583,Consumer Cyclical
GEF.B,Greif Inc. Corporation Class B,Greif B,Packaging & Containers,New York Stock Exchange,995398470,Consumer Cyclical
GEL,Genesis Energy L.P.,Genesis Energy,Oil & Gas - Midstream,New York Stock Exchange,2592550461,Energy
GEN,Genesis Healthcare Inc.,Genesis Healthcare,Health Care Providers,New York Stock Exchange,258689811,Healthcare
GEO,Geo Group Inc (The) REIT,Geo (The) REIT,REITs,New York Stock Exchange,2772085996,Real Estate
GER,Goldman Sachs MLP Energy Renaissance Fund,Goldman Sachs MLP Energy Renaissance Fund,Asset Management,New York Stock Exchange,443791180,Financial Services
GES,Guess? Inc.,Guess?,Retail - Apparel & Specialty,New York Stock Exchange,1589982590,Consumer Cyclical
GF,New Germany Fund Inc. (The),New Germany Fund (The),Asset Management,New York Stock Exchange,215179179,Financial Services
GFF,Griffon Corporation,Griffon,Building Materials,New York Stock Exchange,767963227,Basic Materials
GFI,Gold Fields Limited American Depositary Shares,Gold Fields Limited American Depositary Shares,Metals & Mining,New York Stock Exchange,3183983162,Basic Materials
GFY,Western Asset Variable Rate Strategic Fund Inc.,Western Asset Variable Rate Strategic Fund,Asset Management,New York Stock Exchange,74321039,Financial Services
GG,Goldcorp Inc.,Goldcorp,Metals & Mining,New York Stock Exchange,9638263955,Basic Materials
GGB,Gerdau S.A.,Gerdau S.A.,Steel,New York Stock Exchange,7336204475,Basic Materials
GGG,Graco Inc.,Graco,Industrial Products,New York Stock Exchange,7240009500,Industrials
GGM,Guggenheim Credit Allocation Fund of Beneficial Interest,Guggenheim Credit Allocation Fund of Beneficial Interest,Asset Management,New York Stock Exchange,150421475,Financial Services
GGT,Gabelli Multi-Media Trust Inc. (The),Gabelli Multi-Media Trust (The),Asset Management,New York Stock Exchange,197641658,Financial Services
GGZ,Gabelli Global Small and Mid Cap Value Trust (The) of Beneficial Interest,Gabelli Global Small and Mid Cap Value Trust (The) of Beneficial Interest,Asset Management,New York Stock Exchange,115834272,Financial Services
GHC,Graham Holdings Company,Graham Company,Education,New York Stock Exchange,3529274931,Consumer Defensive
GHG,GreenTree Hospitality Group Ltd. American depositary shares each representing one Class A,GreenTree Hospitality American depositary shares each representing one,Travel & Leisure,New York Stock Exchange,1213548898,Consumer Cyclical
GHL,Greenhill & Co. Inc.,Greenhill & Co.,Brokers & Exchanges,New York Stock Exchange,522929010,Financial Services
GHM,Graham Corporation,Graham,Industrial Products,New York Stock Exchange,221329530,Industrials
GHY,PGIM Global Short Duration High Yield Fund Inc.,PGIM Global Short Duration High Yield Fund,Asset Management,New York Stock Exchange,565568008,Financial Services
GIB,CGI Inc.,CGI,Application Software,New York Stock Exchange,16628843263,Technology
GIG,GigCapital Inc.,GigCapital,Conglomerates,New York Stock Exchange,187758601,Industrials
GIL,Gildan Activewear Inc. Class A Sub. Vot.,Gildan Activewear Sub. Vot.,Manufacturing - Apparel & Furniture,New York Stock Exchange,7033166647,Consumer Cyclical
GIM,Templeton Global Income Fund Inc.,Templeton Global Income Fund,Asset Management,New York Stock Exchange,847791079,Financial Services
GIS,General Mills Inc.,General Mills,Consumer Packaged Goods,New York Stock Exchange,26155505032,Consumer Defensive
GKOS,Glaukos Corporation,Glaukos,Medical Instruments & Equipment,New York Stock Exchange,2409206804,Healthcare
GLOB,Globant S.A.,Globant S.A.,Application Software,New York Stock Exchange,2456637000,Technology
GLOG,GasLog Ltd.,GasLog,Transportation & Logistics,New York Stock Exchange,1457111687,Industrials
GLOP,GasLog Partners LP representing limited partnership interests,GasLog Partners representing limited partnership interests,Oil & Gas - Midstream,New York Stock Exchange,1046745419,Energy
GLP,Global Partners LP representing Limited Partner Interests,Global Partners representing Limited Partner Interests,Oil & Gas - Midstream,New York Stock Exchange,644555874,Energy
GLT,Glatfelter,Glatfelter,Forest Products,New York Stock Exchange,573545628,Basic Materials
GLW,Corning Incorporated,Corning Incorporated,Computer Hardware,New York Stock Exchange,26437400000,Technology
GM,General Motors Company,General Motors Company,Autos,New York Stock Exchange,54945943433,Consumer Cyclical
GM+B,General Motors Company Warrant (Expires 07/10/2019),General Motors Company Warrant (Expires 07/10/2019),Autos,New York Stock Exchange,29724595041,Consumer Cyclical
GME,GameStop Corporation,GameStop,Retail - Apparel & Specialty,New York Stock Exchange,1159371044,Consumer Cyclical
GMED,Globus Medical Inc. Class A,Globus Medical,Medical Devices,New York Stock Exchange,4326273054,Healthcare
GMRE,Global Medical REIT Inc.,Global Medical REIT,REITs,New York Stock Exchange,219586937,Real Estate
GMS,GMS Inc.,GMS,Building Materials,New York Stock Exchange,819930315,Basic Materials
GMZ,Goldman Sachs MLP Income Opportunities Fund,Goldman Sachs MLP Income Opportunities Fund,Asset Management,New York Stock Exchange,392747339,Financial Services
GNC,GNC Holdings Inc. Class A,GNC,Retail - Defensive,New York Stock Exchange,245782203,Consumer Defensive
GNE,Genie Energy Ltd. Class B Stock,Genie Energy B Stock,Oil & Gas - E&P,New York Stock Exchange,220531136,Energy
GNK,Genco Shipping & Trading Limited New (Marshall Islands),Genco Shipping & Trading Limited New (Marshall Islands),Transportation & Logistics,New York Stock Exchange,303588186,Industrials
GNL,Global Net Lease Inc.,Global Net Lease,REITs,New York Stock Exchange,1426295816,Real Estate
GNRC,Generac Holdlings Inc.,Generac Holdlings,Industrial Products,New York Stock Exchange,3276146503,Industrials
GNT,GAMCO Natural Resources Gold & Income Trust,GAMCO Natural Resources Gold & Income Trust,Asset Management,New York Stock Exchange,116608106,Financial Services
